Geneid	Chr	Start	End	Strand	Length	cal_9a	cal_9b	cal_9c1	cal_9c2	cal_9d1	cal_9d2	spn_18a	spn_18b	spn_18c	spn_19ar	spn_19br	spn_19c	imp_3ba1	imp_3ba2	imp_3bb	imp_3bc	imp_3bd1	imp_3bd2r	heq_13a	heq_13bbr	heq_13c	heq_13d	heq_14a	heq_14b	heq_14ccr	lab_11a1	lab_11a2	lab_12a	lab_12b	lab_12c1	lab_12c2	rev_24a1r	rev_24a2	rev_24b1	rev_24b2	rev_25a1	rev_25a2	rev_25aaq3r
g19	ptg000001l	540323	540796	-	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g20	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	571344;571683;573890;574224;574460	571594;571890;574106;574330;574648	+;+;+;+;+	972	20	43	28	14	30	8	1	3	18	17	61	22	42	49	14	22	33	13	30	64	13	11	27	43	69	35	16	40	66	31	37	45	120	0	18	92	25	77
g21	ptg000001l;ptg000001l;ptg000001l;ptg000001l	599009;599563;599973;600156	599470;599886;600078;600463	+;+;+;+	1200	409	340	285	437	322	292	436	487	698	974	579	1190	359	499	218	462	905	740	1426	1549	2126	1067	899	1474	1312	140	79	36	235	240	458	706	997	141	85	1006	2455	480
g22	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	607450;623802;623987;624306;624533;625305;627529	607543;623882;624199;624425;624678;625442;627558	-;-;-;-;-;-;-	822	0	7	2	1	3	0	3	2	1	9	2	2	13	19	0	1	1	5	2	15	4	19	3	15	2	1	1	0	1	7	1	3	14	2	1	6	3	4
g23	ptg000001l	628669	630606	-	1938	39	134	78	73	64	76	56	65	62	134	50	135	68	67	51	75	35	75	83	203	154	173	178	120	392	73	39	93	25	78	52	165	398	35	45	63	31	235
g24	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	633428;634556;634737;636769;636918;637194	633493;634624;634802;636819;637083;637309	-;-;-;-;-;-	534	1	5	5	10	6	9	10	7	4	5	8	6	1	4	3	5	6	5	2	7	8	9	10	11	14	2	2	1	2	9	5	6	16	4	3	6	5	2
g25	ptg000001l	714496	715632	+	1137	0	0	0	3	2	8	3	1	0	0	0	8	0	0	0	3	0	0	0	8	0	0	1	0	0	0	0	0	0	3	7	0	0	1	0	0	0	0
g26	ptg000001l;ptg000001l	716205;718232	716690;718396	-;-	651	32	155	58	104	118	90	324	307	309	277	219	282	52	164	101	101	112	234	294	334	395	103	271	212	256	111	67	143	179	432	236	428	876	261	221	309	226	508
g27	ptg000001l;ptg000001l;ptg000001l	721390;721814;723528	721501;721919;723606	+;+;+	297	117	336	246	449	271	197	104	144	134	379	299	146	140	99	133	89	217	317	307	286	215	192	277	199	306	167	58	18	83	433	154	231	502	490	259	511	191	1079
g28	ptg000001l	752533	754002	-	1470	2	5	1	2	0	2	9	3	3	18	7	0	0	0	8	1	6	6	0	0	22	0	34	26	0	12	3	0	0	35	12	4	9	22	10	16	2	0
g29	ptg000001l	779353	779817	+	465	4831	28854	11311	11927	17663	18622	15729	12695	20933	14939	13171	25908	14836	18604	15993	13632	28500	34474	22961	40744	29402	35446	35759	41829	60635	7435	3686	21669	14938	12981	13573	49618	83773	16542	14604	37660	43448	61159
g30	ptg000001l	798330	798662	+	333	0	60	0	1	3	17	5	3	0	7	11	0	0	5	3	2	8	4	17	0	6	0	122	2	6	4	4	0	0	5	15	10	15	22	12	0	1	1
g31	ptg000001l;ptg000001l	804270;804348	805055;805055	+;+	786	8	1126	11	29	46	63	125	24	205	628	611	1190	88	127	72	276	770	417	273	1278	255	73	818	174	240	29	27	3	5	53	34	199	516	535	314	173	646	213
g32	ptg000001l;ptg000001l	835369;836458	835561;837338	+;+	1074	5	270	36	181	25	27	36	6	30	155	108	181	23	103	39	101	221	161	90	204	112	54	206	30	49	8	12	0	5	20	0	69	127	93	77	133	116	48
g33	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	852557;852557;852786;852786;853023;853023;853609	852685;852685;852929;852929;853754;853512;853754	-;-;-;-;-;-;-	1005	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	29	0	0	0	0	0
g34	ptg000001l	858770	859210	-	441	220	1201	1211	2533	521	380	259	204	976	890	801	1163	363	535	431	817	1273	1329	71	1526	205	260	182	151	401	109	37	119	154	262	320	739	1302	495	264	2	1	19
g35	ptg000001l;ptg000001l	952203;954751	954650;954981	+;+	2679	178	709	509	952	652	700	622	791	872	959	758	258	367	674	536	415	358	1021	439	625	552	707	583	473	1715	455	159	675	443	1011	638	937	2415	1041	637	264	101	1010
g36	ptg000001l;ptg000001l	956507;958588	956720;958994	-;-	621	0	0	1	0	0	0	0	1	1	1	0	1	0	2	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0
g37	ptg000001l;ptg000001l;ptg000001l	961111;961487;961919	961292;961813;961970	-;-;-	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g38	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	986738;987376;988445;990180;990514;990890;991761;993142;993558	987081;987584;988789;990444;990781;991015;991824;993311;994106	+;+;+;+;+;+;+;+;+	2340	1466	3323	1048	7545	2449	2527	5691	7063	3013	6507	7156	1270	2086	4344	1588	1046	1833	4402	2591	3356	3837	3096	8490	2312	11541	2026	666	1926	2117	7241	3413	3480	9034	3599	2531	1028	634	1694
g39	ptg000001l;ptg000001l;ptg000001l;ptg000001l	994889;995869;996122;996384	995207;996021;996219;996608	+;+;+;+	795	203	414	237	440	339	236	210	189	254	447	391	315	241	298	121	184	241	354	240	556	570	270	481	556	486	35	8	111	104	271	122	391	959	211	130	507	357	405
g40	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	999536;1000639;1000948;1001204;1001408;1001598;1003419;1004322;1005981	999607;1000857;1001026;1001337;1001506;1001702;1003493;1004408;1006010	+;+;+;+;+;+;+;+;+	900	6	12	6	49	32	13	51	11	81	46	56	0	13	38	4	5	25	23	0	13	1	12	33	35	51	0	1	35	22	74	26	15	34	75	86	26	1	22
g41	ptg000001l;ptg000001l;ptg000001l	1006336;1007638;1008687	1007147;1008269;1008733	-;-;-	1491	0	71	25	127	52	56	37	50	36	55	15	4	3	17	4	3	3	5	0	7	8	0	8	0	26	21	6	12	12	8	10	64	56	54	23	19	0	0
g42	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1160813;1162361;1162922;1163440;1163878;1164292	1161133;1162659;1163011;1163608;1164122;1164499	-;-;-;-;-;-	1332	871	1679	1403	2466	1184	1139	1211	1110	1082	1941	2181	2186	1198	1719	1058	1297	1841	2204	2402	3384	2745	1938	3559	1873	3694	718	317	1241	1304	1885	1466	2162	5355	2815	1977	2286	1678	2822
g43	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1167970;1175898;1176021;1187095;1187377;1187704;1188196;1190166	1168154;1175931;1176158;1187241;1187421;1188070;1188422;1190609	-;-;-;-;-;-;-;-	1587	631	1346	1161	1417	915	795	908	700	902	1821	1493	2988	757	1361	729	824	1572	2101	1635	3745	1991	1301	2324	1617	2749	844	403	868	756	1053	844	1772	4910	1288	872	1924	2248	1884
g44	ptg000001l;ptg000001l;ptg000001l	1195102;1195102;1196080	1195863;1195797;1196085	-;-;-	768	63	360	139	234	149	115	173	142	231	275	265	180	119	233	185	78	189	426	184	299	353	245	293	304	359	170	91	125	131	278	250	212	330	265	175	379	208	423
g45	ptg000001l;ptg000001l	1271182;1271957	1271636;1271990	-;-	489	829	879	876	1399	967	630	704	736	1133	1037	1133	1955	928	1471	524	868	1504	1917	2366	2883	2189	1764	2874	2255	4111	437	243	894	1013	1062	1067	1941	3389	895	539	2841	2769	2254
g46	ptg000001l;ptg000001l	1275897;1276350	1276259;1276958	+;+	972	0	0	2	1	1	0	1	0	1	0	0	0	0	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	8	0
g47	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1278048;1278048;1279090;1279090;1280166;1280166;1280458;1280458	1278885;1278885;1279643;1279643;1280383;1280383;1280638;1280563	-;-;-;-;-;-;-;-	1791	2812	7344	6120	7870	6449	5620	3322	3623	3123	6485	5346	4693	1885	4727	1407	4311	5080	6401	6235	6578	11895	4872	8348	6500	5497	2607	908	737	3510	9419	6436	2220	11308	7174	4601	7320	10002	8335
g48	ptg000001l;ptg000001l	1280613;1281233	1280728;1281368	-;-	252	87	480	394	460	278	387	266	303	175	473	270	187	39	239	57	282	145	401	312	226	380	229	445	234	497	157	45	32	138	578	447	182	914	585	356	230	169	401
g49	ptg000001l;ptg000001l	1304038;1304644	1304456;1305118	+;+	894	103	1427	704	1575	539	618	748	522	428	1238	1446	1433	777	1103	663	668	893	1723	742	2210	421	553	731	1026	976	665	409	474	573	1093	1357	1157	2735	2742	1486	422	177	866
g50	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1320248;1321576;1328007;1328282;1328748;1329402;1329756;1329930;1330236	1320744;1321777;1328189;1328386;1328991;1329547;1329846;1330134;1330386	-;-;-;-;-;-;-;-;-	1824	2966	5826	5466	5389	4002	4102	2369	1702	2442	4694	3993	6127	1783	3555	2178	2516	3778	6392	3526	7910	5190	3425	6512	4550	5692	2554	1310	2173	2692	5433	3909	3169	9007	4382	2577	5562	6171	4691
g51	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1371654;1372261;1373476;1374972;1375975;1376848;1377842	1371992;1372740;1374216;1375352;1376532;1377746;1379009	-;-;-;-;-;-;-	4566	172	59	73	66	86	51	34	99	41	50	109	355	26	50	67	35	77	109	171	381	173	465	209	296	1080	163	43	26	56	117	41	350	274	48	65	189	200	195
g52	ptg000001l;ptg000001l;ptg000001l;ptg000001l	1381699;1382172;1382646;1384590	1382006;1382299;1383472;1385270	+;+;+;+	1944	6103	36054	15613	17295	17897	17123	10678	13469	18087	30204	28158	36521	23128	40233	29624	16074	39929	80207	17898	59649	21401	29611	22669	27678	28244	21688	10000	16103	15938	17155	26381	19282	68521	26244	14203	23073	17508	13109
g53	ptg000001l;ptg000001l	1388926;1390047	1388963;1390908	-;-	900	4734	12164	6175	7812	6066	9328	6927	7028	7604	9648	9617	14590	6767	6941	5344	4217	9509	13666	6580	21357	9393	12919	7416	6994	31740	4748	2617	8965	5723	9150	10144	18966	32260	9577	6812	10326	10226	24346
g54	ptg000001l;ptg000001l	1468727;1469311	1468843;1469778	+;+	585	662	1781	883	1662	1090	730	594	592	947	1188	1219	2086	989	1424	844	811	1506	2192	1898	3075	1682	1445	2607	1859	2873	720	372	933	1285	1771	1158	1313	3385	1266	932	1637	1779	1985
g55	ptg000001l	1475132	1475524	+	393	123	800	486	1772	425	515	217	222	374	586	999	64	315	465	254	130	290	657	142	379	250	314	295	331	552	382	169	515	949	787	595	191	718	1130	816	402	230	709
g56	ptg000001l	1494536	1496140	+	1605	3	4	0	8	0	6	1	1	2	3	0	0	4	18	21	29	65	11	0	4	0	0	16	0	0	0	0	0	20	0	1	0	1	3	5	0	0	0
g57	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1496965;1497583;1497822;1499745;1500339;1501262;1501717;1502139;1502732;1507677	1497062;1497667;1497887;1499846;1500476;1501471;1501932;1502294;1502839;1508072	-;-;-;-;-;-;-;-;-;-	1575	4308	11891	5276	7443	5616	7509	9162	8317	8617	12113	10221	13714	5285	7458	6356	3031	5856	12888	9560	18999	11373	12286	12154	8280	29294	6602	2979	7777	8631	9315	10623	21984	38854	10878	8416	5713	6969	14632
g58	ptg000001l;ptg000001l	1510677;1511458	1510914;1512836	-;-	1617	3215	3491	2019	3554	1972	2032	2514	2287	2391	3387	3236	4249	1882	2500	1209	1490	2301	3070	6340	6131	7745	3660	9457	4521	7726	1378	700	2042	1866	3539	3154	4127	6618	4918	3349	4350	5305	8193
g59	ptg000001l;ptg000001l;ptg000001l;ptg000001l	1548476;1548577;1548822;1556922	1548501;1548670;1549087;1557162	+;+;+;+	627	1088	1554	849	1500	1101	1044	1527	1161	2193	1965	2314	5316	1409	1471	877	900	1252	1706	1691	6725	2556	1472	2297	660	4379	1563	681	1778	2276	3517	2887	1982	5230	1621	1279	2142	2785	4641
g60	ptg000001l;ptg000001l	1564638;1565380	1564917;1565513	-;-	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	11	13	0	0	0	0	0
g61	ptg000001l;ptg000001l	1636144;1636254	1636169;1636296	+;+	69	13	14	2	0	1	3	8	2	1	12	1	0	4	1	4	0	2	5	2	4	0	7	1	3	18	0	0	7	4	13	11	5	27	16	4	0	0	4
g62	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1688692;1689434;1689769;1690165;1698160	1688971;1689641;1689835;1690315;1698221	-;-;-;-;-	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	2	11	2	0	0	0	3	4	0	0	0
g63	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	1708991;1709733;1710067;1710463;1718455	1709270;1709940;1710133;1710613;1718516	-;-;-;-;-	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g64	ptg000001l;ptg000001l;ptg000001l	1772158;1772266;1772515	1772183;1772359;1772784	+;+;+	390	8	60	8	50	30	19	45	48	73	53	62	68	18	40	27	16	35	50	38	86	43	61	95	42	193	36	26	41	71	75	107	112	250	52	69	86	39	124
g65	ptg000001l;ptg000001l;ptg000001l;ptg000001l	1837822;1837930;1838167;1846219	1837847;1838011;1838432;1846459	+;+;+;+	615	54	94	52	109	50	72	87	50	55	130	92	99	47	114	22	52	80	78	79	146	134	57	78	40	310	77	31	80	47	170	142	135	328	96	73	81	56	180
g66	ptg000001l;ptg000001l	1853952;1854694	1854231;1854827	-;-	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g67	ptg000001l;ptg000001l	1934974;1935716	1935253;1935849	-;-	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g68	ptg000001l;ptg000001l;ptg000001l	1985764;1985872;1986115	1985789;1985965;1986300	+;+;+	306	24	71	24	57	35	54	37	31	46	47	53	82	18	36	30	27	12	22	15	100	63	39	41	25	111	26	20	26	10	65	75	91	173	23	43	69	22	180
g69	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2047899;2048265;2048700;2049358;2049581;2049799;2050571;2051165;2051495;2051847;2052937	2048150;2048355;2048827;2049480;2049669;2049919;2050662;2051294;2051743;2052043;2053159	+;+;+;+;+;+;+;+;+;+;+	1695	1422	5396	3254	4950	2212	1865	2174	1675	1890	3431	2606	3832	2039	3931	2439	3154	6559	9086	2199	5871	2887	2773	4020	3140	7965	1686	783	944	1079	1258	1281	3402	7997	3191	1830	3760	2384	2977
g70	ptg000001l;ptg000001l	2060986;2063822	2061843;2064073	+;+	1110	1634	1791	1248	1550	1506	1097	1196	1312	1424	2593	2252	2771	969	1160	870	628	1223	1631	1282	3740	1747	1695	2374	3152	2359	589	285	996	900	1667	1301	1994	5024	1360	795	5190	3760	1878
g71	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2086858;2088196;2098229;2098911;2100073;2101124;2101314;2101798;2101958;2102172;2108006	2087404;2088221;2098351;2098996;2100311;2101200;2101370;2101865;2102064;2102242;2108128	+;+;+;+;+;+;+;+;+;+;+	1524	1673	4472	2513	4523	2517	2491	2499	2319	2633	5136	4741	6139	2792	4930	3050	2826	4759	8206	5035	8931	5884	4608	7303	6301	8952	3143	1290	2959	3439	5381	4544	4654	10462	4065	2561	3919	3797	4359
g72	ptg000001l;ptg000001l;ptg000001l	2119438;2119438;2120099	2119880;2119884;2120150	+;+;+	499	5	7	103	144	65	7	87	28	55	156	172	106	132	184	133	117	600	593	259	238	186	120	454	381	371	39	10	108	194	227	268	133	246	202	106	227	180	96
g73	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2144477;2144477;2144773;2144773;2145864;2145864;2147537;2147537;2147799;2148680;2148680	2144686;2144686;2144832;2144832;2145959;2145959;2147711;2147886;2147886;2148773;2148773	-;-;-;-;-;-;-;-;-;-;-	810	1154	1806	1415	1940	1493	1000	1255	1189	1814	2264	2492	3234	886	1380	915	1071	1882	2270	2302	4120	2167	2225	3723	2857	4712	1148	515	959	1037	1992	1241	3468	7355	2079	1152	2869	2415	2925
g74	ptg000001l;ptg000001l	2211318;2212080	2211730;2212866	-;-	1200	8	36	5	62	31	18	13	18	50	47	25	5	30	30	20	41	51	50	48	35	82	11	83	59	49	2	2	21	0	47	1	54	67	89	27	7	55	7
g75	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2217154;2217457;2217686;2217868;2218131;2218329;2218516;2218687;2219764	2217345;2217594;2217766;2218053;2218223;2218395;2218605;2219032;2219812	-;-;-;-;-;-;-;-;-	1242	6	120	131	161	70	43	117	49	69	292	439	506	59	81	35	155	230	165	115	565	133	24	188	60	155	8	21	40	50	97	42	134	199	230	196	57	23	69
g76	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2245125;2245364;2245699;2246309;2248433;2248801;2249048;2249942	2245277;2245543;2245813;2246472;2248498;2248961;2249261;2250367	-;-;-;-;-;-;-;-	1479	1973	4909	2750	4089	2112	2803	2923	2508	2896	4565	4332	9669	2679	4114	2828	1079	3168	5482	4744	12348	7166	4360	6964	3481	11865	3814	2205	3461	3767	7806	5855	4385	9089	3266	2417	3131	3941	10347
g77	ptg000001l;ptg000001l	2251403;2251971	2251563;2252058	-;-	249	0	26	12	35	11	21	8	4	35	12	26	48	9	12	0	0	1	8	25	57	30	0	92	18	16	10	0	13	0	6	17	4	49	2	1	13	11	1
g78	ptg000001l	2264555	2264887	-	333	429	857	573	1177	943	644	377	321	767	1286	1545	1299	677	1005	286	509	862	898	1092	1976	1351	550	1869	995	1514	315	189	611	636	1307	720	909	2107	1286	690	1786	1534	1324
g79	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2287620;2288459;2288723;2289065;2290525	2287963;2288630;2288901;2289223;2290849	+;+;+;+;+	1179	279	1376	476	5157	1163	730	1379	995	1758	2776	3576	670	1610	1861	885	350	665	1482	385	2280	1259	179	3431	686	1182	953	227	1791	1654	4000	1192	883	1027	9807	5224	737	458	1469
g80	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2291745;2291745;2292082;2292082;2292352;2292352;2292531;2292531;2292683;2292683;2292918;2292918;2293238;2293238;2293419;2293419;2293664;2293664;2293941;2293941;2295243;2295258;2296055;2296055;2297033;2297033	2291981;2291981;2292189;2292189;2292438;2292438;2292611;2292611;2292817;2292817;2293139;2293139;2293318;2293318;2293580;2293580;2293854;2293854;2294082;2294082;2295338;2295338;2296193;2296193;2297112;2297112	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1761	9	11	5	11	12	28	2	0	6	24	1	5	21	39	3	9	10	22	3	26	78	366	157	2	6769	16	1	52	7	81	15	7	33	0	3	38	6	1599
g81	ptg000001l;ptg000001l;ptg000001l;ptg000001l	2329353;2329618;2329849;2332422	2329501;2329769;2329974;2332663	+;+;+;+	669	4806	11805	7993	10366	8664	6365	6270	3820	11329	12829	12635	15748	5182	8735	4427	5822	10370	13612	9726	20930	9400	4771	15556	7793	11665	2841	1083	5805	5203	11087	6626	11765	24998	9445	5957	11758	13787	6965
g82	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	2334169;2336125;2336379;2337109;2337511;2337781	2334687;2336288;2337029;2337226;2337699;2337951	+;+;+;+;+;+	1812	4	2	0	0	4	0	13	0	0	10	24	0	1	6	0	0	3	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	22	0	0
g83	ptg000001l	2346846	2349047	+	2202	1586	3825	2326	3610	2601	2684	2116	2151	3325	4241	3435	5254	1307	2347	1950	1918	2655	4043	3188	6561	4243	1949	4873	2388	4586	1259	446	1246	1319	2056	1324	4401	7705	4281	2311	3106	3077	2522
