	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, ANNOTATED]	g14	pumilio homolog 2-like	3213	1	0.0	95.98	3	P:GO:0010608; F:GO:0003729; C:GO:0005737	P:post-transcriptional regulation of gene expression; F:mRNA binding; C:cytoplasm			G3DSA:1.25.10.10:FF:000004 (FUNFAM); IPR001313 (PFAM); IPR012940 (PFAM); IPR011989 (G3DSA:1.25.10.GENE3D); PTHR12537 (PANTHER); IPR001313 (PROSITE_PROFILES); IPR001313 (PROSITE_PROFILES); IPR001313 (PROSITE_PROFILES); IPR001313 (PROSITE_PROFILES); IPR033133 (PROSITE_PROFILES); IPR001313 (PROSITE_PROFILES); IPR001313 (PROSITE_PROFILES); IPR001313 (PROSITE_PROFILES); IPR001313 (PROSITE_PROFILES); IPR033712 (CDD); IPR016024 (SUPERFAMILY)	P:GO:0010608; F:GO:0003723; F:GO:0003729; C:GO:0005737	P:post-transcriptional regulation of gene expression; F:RNA binding; F:mRNA binding; C:cytoplasm
true	[INTERPRO, BLASTED]	g15	transcription factor PCL1-like	153	1	3.14E-22	94.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	g16	low-temperature-induced 65 kDa protein-like	1635	1	0.0	90.43	1	P:GO:0009737	P:response to abscisic acid			IPR057059 (PFAM); IPR056605 (PFAM); IPR037491 (PANTHER)	P:GO:0009737	P:response to abscisic acid
true	[INTERPRO, BLASTED, ANNOTATED]	g17	transcription initiation factor IIA large subunit-like	1251	1	1.45E-258	97.12	2	P:GO:0006367; C:GO:0005672	P:transcription initiation at RNA polymerase II promoter; C:transcription factor TFIIA complex			G3DSA:2.30.18.10:FF:000005 (FUNFAM); G3DSA:1.10.287.100:FF:000001 (FUNFAM); IPR004855 (PFAM); G3DSA:1.10.287.100 (GENE3D); IPR009088 (G3DSA:2.30.18.GENE3D); IPR004855 (PANTHER); cd07976 (CDD); IPR009088 (SUPERFAMILY); SSF47396 (SUPERFAMILY)	P:GO:0006366; P:GO:0006367; C:GO:0005672	P:transcription by RNA polymerase II; P:transcription initiation at RNA polymerase II promoter; C:transcription factor TFIIA complex
true	[INTERPRO, BLASTED, ANNOTATED]	g18	transcription initiation factor IIA large subunit-like isoform X1	1296	2	3.2E-247	91.88	2	P:GO:0006367; C:GO:0005672	P:transcription initiation at RNA polymerase II promoter; C:transcription factor TFIIA complex			G3DSA:2.30.18.10:FF:000005 (FUNFAM); G3DSA:1.10.287.100:FF:000001 (FUNFAM); IPR009088 (G3DSA:2.30.18.GENE3D); G3DSA:1.10.287.100 (GENE3D); IPR004855 (PFAM); IPR004855 (PANTHER); cd07976 (CDD); IPR009088 (SUPERFAMILY); SSF47396 (SUPERFAMILY)	P:GO:0006366; P:GO:0006367; C:GO:0005672	P:transcription by RNA polymerase II; P:transcription initiation at RNA polymerase II promoter; C:transcription factor TFIIA complex
true	[INTERPRO, BLASTED]	g19	uncharacterized protein LOC127796927	474	1	7.73E-66	79.01						IPR013087 (PFAM); G3DSA:3.30.160.60 (GENE3D); IPR052426 (PANTHER); IPR013087 (PROSITE_PATTERNS); IPR013087 (PROSITE_PROFILES); IPR036236 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g20	tropinone reductase homolog At5g06060-like	972	1	5.09E-202	95.34	1	F:GO:0016491	F:oxidoreductase activity			IPR002347 (PRINTS); G3DSA:3.40.50.720:FF:000084 (FUNFAM); G3DSA:3.40.50.720 (GENE3D); IPR002347 (PFAM); PIRSR611284-2 (PIRSR); PIRSR617711-2 (PIRSR); PIRSR000094-3 (PIRSR); PIRSR614007-2 (PIRSR); IPR045000 (PANTHER); IPR036291 (SUPERFAMILY)	F:GO:0016491	F:oxidoreductase activity
true	[INTERPRO, BLASTED, ANNOTATED]	g21	probable protein phosphatase 2C 24	1200	1	6.23E-274	95.24	3	P:GO:0006470; F:GO:0004722; F:GO:0043169	P:protein dephosphorylation; F:protein serine/threonine phosphatase activity; F:cation binding			G3DSA:3.60.40.10:FF:000291 (FUNFAM); IPR001932 (PFAM); IPR036457 (G3DSA:3.60.40.GENE3D); IPR015655 (PANTHER); IPR000222 (PROSITE_PATTERNS); IPR001932 (PROSITE_PROFILES); IPR001932 (CDD); IPR036457 (SUPERFAMILY)	P:GO:0006470; F:GO:0004722; F:GO:0043169	P:protein dephosphorylation; F:protein serine/threonine phosphatase activity; F:cation binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g22	methylsterol monooxygenase 2-2-like	822	20	1.14E-201	95.26	4	P:GO:0008610; F:GO:0004497; F:GO:0005506; C:GO:0016020	P:lipid biosynthetic process; F:monooxygenase activity; F:iron ion binding; C:membrane	EC:1	Oxidoreductases	IPR006694 (PFAM); IPR050307 (PANTHER)	P:GO:0008610; F:GO:0005506; F:GO:0016491	P:lipid biosynthetic process; F:iron ion binding; F:oxidoreductase activity
true	[INTERPRO, BLASTED, ANNOTATED]	g23	pentatricopeptide repeat-containing protein At3g46790, chloroplastic	1938	1	0.0	97.36	4	P:GO:0009451; F:GO:0003723; F:GO:0005515; F:GO:0008270	P:RNA modification; F:RNA binding; F:protein binding; F:zinc ion binding			G3DSA:1.25.40.10:FF:001104 (FUNFAM); G3DSA:1.25.40.10:FF:000462 (FUNFAM); G3DSA:1.25.40.10:FF:000341 (FUNFAM); IPR032867 (PFAM); IPR002885 (NCBIFAM); IPR002885 (PFAM); IPR002885 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR046848 (PFAM); IPR046960 (PANTHER); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES)	P:GO:0009451; F:GO:0003723; F:GO:0005515; F:GO:0008270	P:RNA modification; F:RNA binding; F:protein binding; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g24	DNA-directed RNA polymerase II subunit RPB7	534	20	3.24E-124	99.35	8	P:GO:0006367; P:GO:0045948; P:GO:0060213; F:GO:0003697; F:GO:0003727; F:GO:0031369; C:GO:0000932; C:GO:0005665	P:transcription initiation at RNA polymerase II promoter; P:positive regulation of translational initiation; P:positive regulation of nuclear-transcribed mRNA poly(A) tail shortening; F:single-stranded DNA binding; F:single-stranded RNA binding; F:translation initiation factor binding; C:P-body; C:RNA polymerase II, core complex			G3DSA:3.30.1490.120:FF:000001 (FUNFAM); G3DSA:2.40.50.140:FF:000043 (FUNFAM); IPR036898 (G3DSA:3.30.1490.GENE3D); IPR012340 (G3DSA:2.40.50.GENE3D); IPR005576 (PFAM); IPR003029 (PFAM); IPR045113 (PANTHER); cd04462 (CDD); cd04329 (CDD); IPR012340 (SUPERFAMILY); IPR036898 (SUPERFAMILY)	P:GO:0000291; P:GO:0006351; P:GO:0006352; P:GO:0006367; P:GO:0045948; P:GO:0060213; F:GO:0003676; F:GO:0003697; F:GO:0003727; F:GO:0031369; C:GO:0000932; C:GO:0005665	P:obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic; P:DNA-templated transcription; P:DNA-templated transcription initiation; P:transcription initiation at RNA polymerase II promoter; P:positive regulation of translational initiation; P:positive regulation of nuclear-transcribed mRNA poly(A) tail shortening; F:nucleic acid binding; F:single-stranded DNA binding; F:single-stranded RNA binding; F:translation initiation factor binding; C:P-body; C:RNA polymerase II, core complex
true	[INTERPRO, BLASTED, ANNOTATED]	g25	metal tolerance protein A1 isoform X1	1137	3	1.16E-251	97.63	4	P:GO:0071577; F:GO:0005385; C:GO:0005773; C:GO:0005886	P:zinc ion transmembrane transport; F:zinc ion transmembrane transporter activity; C:vacuole; C:plasma membrane			IPR027469 (G3DSA:1.20.1510.GENE3D); IPR002524 (NCBIFAM); IPR002524 (PFAM); IPR050681 (PANTHER); IPR027469 (SUPERFAMILY); IPR036837 (SUPERFAMILY)	P:GO:0006812; P:GO:0055085; P:GO:0071577; F:GO:0005385; F:GO:0008324; C:GO:0005773; C:GO:0005886; C:GO:0016020	P:monoatomic cation transport; P:transmembrane transport; P:zinc ion transmembrane transport; F:zinc ion transmembrane transporter activity; F:monoatomic cation transmembrane transporter activity; C:vacuole; C:plasma membrane; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g26	ras-related protein Rab11C-like	651	20	2.45E-145	97.15	3	F:GO:0003924; F:GO:0005525; C:GO:0005886	F:GTPase activity; F:GTP binding; C:plasma membrane	EC:3.6.1.15	nucleoside-triphosphate phosphatase	PR00449 (PRINTS); G3DSA:3.40.50.300:FF:000067 (FUNFAM); IPR001806 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR005225 (NCBIFAM); IPR050209 (PANTHER); PS51419 (PROSITE_PROFILES); PS51420 (PROSITE_PROFILES); IPR001806 (PROSITE_PROFILES); cd01868 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0003924; F:GO:0005525	F:GTPase activity; F:GTP binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g27	uncharacterized protein LOC127798502 isoform X3	297	20	8.7E-64	97.96	5	P:GO:0006414; P:GO:0006511; P:GO:0009867; F:GO:0003746; C:GO:0005634	P:translational elongation; P:ubiquitin-dependent protein catabolic process; P:jasmonic acid mediated signaling pathway; F:translation elongation factor activity; C:nucleus			G3DSA:3.30.710.10:FF:000035 (FUNFAM); IPR011333 (G3DSA:3.30.710.GENE3D); IPR016073 (PFAM); IPR039948 (PANTHER); cd18321 (CDD); IPR011333 (SUPERFAMILY)	P:GO:0006511	P:ubiquitin-dependent protein catabolic process
true	[INTERPRO, BLASTED]	g28	uncharacterized protein LOC127796613	1470	1	0.0	96.73						IPR028098 (PFAM); PF13692 (PFAM); G3DSA:3.40.50.2000 (GENE3D); G3DSA:3.40.50.2000 (GENE3D); PTHR46686 (PANTHER); cd03801 (CDD); SSF53756 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g29	copper transporter 1-like	465	1	1.14E-87	90.26	3	P:GO:0035434; F:GO:0005375; C:GO:0005886	P:copper ion transmembrane transport; F:copper ion transmembrane transporter activity; C:plasma membrane			IPR007274 (PFAM); IPR007274 (PANTHER)	P:GO:0035434; F:GO:0005375; C:GO:0005886; C:GO:0016020	P:copper ion transmembrane transport; F:copper ion transmembrane transporter activity; C:plasma membrane; C:membrane
true	[INTERPRO, BLASTED]	g30	UDP-glucose iridoid glucosyltransferase-like	333	1	3.27E-48	89.8						G3DSA:3.40.50.2000 (GENE3D); SSF53756 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g31	hypothetical protein GH714_012264	1494	2	7.66E-178	66.34	1	F:GO:0008194	F:UDP-glycosyltransferase activity	EC:2.4	Glycosyltransferases	G3DSA:3.40.50.2000:FF:000040 (FUNFAM); IPR002213 (PFAM); G3DSA:3.40.50.2000 (GENE3D); G3DSA:3.40.50.2000 (GENE3D); PTHR48045 (PANTHER); IPR002213 (CDD); SSF53756 (SUPERFAMILY)	F:GO:0008194	F:UDP-glycosyltransferase activity
true	[INTERPRO, BLASTED, ANNOTATED]	g32	UDP-glucose iridoid glucosyltransferase-like	1074	1	9.94E-237	94.96	1	F:GO:0008194	F:UDP-glycosyltransferase activity			G3DSA:3.40.50.2000:FF:000040 (FUNFAM); G3DSA:3.40.50.2000 (GENE3D); IPR002213 (PFAM); G3DSA:3.40.50.2000 (GENE3D); PTHR48045 (PANTHER); IPR002213 (CDD); SSF53756 (SUPERFAMILY)	F:GO:0008194	F:UDP-glycosyltransferase activity
true	[INTERPRO, BLASTED]	g33	protein FAR1-RELATED SEQUENCE 5-like	1914	7	1.03E-105	80.41						PTHR47718 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g34	class I heat shock protein	441	15	1.2E-95	90.72						G3DSA:2.60.40.790:FF:000009 (FUNFAM); IPR008978 (G3DSA:2.60.40.GENE3D); IPR002068 (PFAM); IPR031107 (PANTHER); IPR002068 (PROSITE_PROFILES); cd06472 (CDD); IPR008978 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g35	uncharacterized protein LOC127797858	2679	1	0.0	94.73						IPR021916 (PFAM); PTHR31390 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g36	uncharacterized protein LOC127796614	621	1	1.36E-133	93.75	1	F:GO:0008270	F:zinc ion binding			IPR013083 (G3DSA:3.30.40.GENE3D); IPR011016 (PFAM); PTHR46214 (PANTHER); IPR011016 (PROSITE_PROFILES); SSF57850 (SUPERFAMILY)	F:GO:0008270	F:zinc ion binding
true	[INTERPRO, BLASTED]	g37	uncharacterized protein LOC127798221	561	3	2.76E-96	87.7						IPR009489 (PFAM); IPR009489 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g38	neutral ceramidase 2	2340	1	0.0	97.95	5	P:GO:0042759; P:GO:0046512; P:GO:0046514; F:GO:0017040; C:GO:0005576	P:long-chain fatty acid biosynthetic process; P:sphingosine biosynthetic process; P:ceramide catabolic process; F:N-acylsphingosine amidohydrolase activity; C:extracellular region			G3DSA:2.60.40.2300:FF:000002 (FUNFAM); IPR031331 (PFAM); IPR038445 (G3DSA:2.60.40.GENE3D); IPR031329 (PFAM); IPR006823 (PANTHER)	P:GO:0042759; P:GO:0046512; P:GO:0046514; F:GO:0017040; C:GO:0005576	P:long-chain fatty acid biosynthetic process; P:sphingosine biosynthetic process; P:ceramide catabolic process; F:N-acylsphingosine amidohydrolase activity; C:extracellular region
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g39	proliferating cell nuclear antigen	795	20	6.49E-183	99.83	7	P:GO:0006272; P:GO:0006275; P:GO:0006298; P:GO:0019985; F:GO:0003677; F:GO:0030337; C:GO:0043626	P:leading strand elongation; P:regulation of DNA replication; P:mismatch repair; P:translesion synthesis; F:DNA binding; F:DNA polymerase processivity factor activity; C:PCNA complex			IPR000730 (PRINTS); G3DSA:3.70.10.10:FF:000001 (FUNFAM); IPR000730 (NCBIFAM); G3DSA:3.70.10.10 (GENE3D); IPR022648 (PFAM); IPR022649 (PFAM); IPR000730 (PANTHER); IPR022659 (PROSITE_PATTERNS); IPR022659 (PROSITE_PATTERNS); IPR000730 (HAMAP); cd00577 (CDD); IPR046938 (SUPERFAMILY); IPR046938 (SUPERFAMILY)	P:GO:0006272; P:GO:0006275; P:GO:0006298; P:GO:0019985; F:GO:0003677; F:GO:0030337; C:GO:0043626	P:leading strand elongation; P:regulation of DNA replication; P:mismatch repair; P:translesion synthesis; F:DNA binding; F:DNA polymerase processivity factor activity; C:PCNA complex
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g40	mitochondrial uncoupling protein 2-like isoform X2	900	16	3.8E-204	94.39	3	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane			IPR002067 (PRINTS); G3DSA:1.50.40.10:FF:000019 (FUNFAM); IPR023395 (G3DSA:1.50.40.GENE3D); IPR018108 (PFAM); IPR050391 (PANTHER); IPR018108 (PROSITE_PROFILES); IPR018108 (PROSITE_PROFILES); IPR018108 (PROSITE_PROFILES); IPR023395 (SUPERFAMILY)	P:GO:0055085	P:transmembrane transport
true	[INTERPRO, BLASTED, ANNOTATED]	g41	protein GRAVITROPIC IN THE LIGHT 1-like	1491	1	1.27E-313	93.15	2	P:GO:0009639; P:GO:0009959	P:response to red or far red light; P:negative gravitropism			Coil (COILS); IPR056813 (PFAM); IPR006943 (PFAM); IPR040225 (PANTHER)	P:GO:0009639; P:GO:0009959	P:response to red or far red light; P:negative gravitropism
true	[INTERPRO, BLASTED, ANNOTATED]	g42	calmodulin-binding receptor-like cytoplasmic kinase 1 isoform X1	1332	2	7.39E-283	91.31	3	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding			G3DSA:1.10.510.10:FF:000300 (FUNFAM); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PIRSR628788-1 (PIRSR); PIRSR000636-1 (PIRSR); PIRSR000660-2 (PIRSR); PIRSR037993-2 (PIRSR); PIRSR000551-50 (PIRSR); PIRSR037281-1 (PIRSR); PIRSR000604-1 (PIRSR); PIRSR500950-50 (PIRSR); PIRSR630616-1 (PIRSR); PIRSR000660-1 (PIRSR); PIRSR000632-1 (PIRSR); PIRSR000554-1 (PIRSR); PIRSR037014-2 (PIRSR); PIRSR000605-50 (PIRSR); PIRSR000552-2 (PIRSR); PIRSR000624-2 (PIRSR); PIRSR037921-2 (PIRSR); PIRSR038165-50 (PIRSR); PIRSR037393-2 (PIRSR); PIRSR000666-2 (PIRSR); PIRSR000559-1 (PIRSR); PIRSR630616-3 (PIRSR); PIRSR500951-1 (PIRSR); PIRSR000661-51 (PIRSR); PIRSR000605-51 (PIRSR); PIRSR037568-1 (PIRSR); PIRSR000559-2 (PIRSR); PIRSR000661-50 (PIRSR); PIRSR630616-2 (PIRSR); PIRSR630220-2 (PIRSR); PIRSR620777-50 (PIRSR); PIRSR000624-1 (PIRSR); PIRSR500947-50 (PIRSR); PIRSR000628-2 (PIRSR); PIRSR000617-2 (PIRSR); PIRSR630220-1 (PIRSR); PIRSR628788-2 (PIRSR); PIRSR637770-1 (PIRSR); PIRSR000628-1 (PIRSR); PIRSR000617-1 (PIRSR); PIRSR000604-2 (PIRSR); PIRSR637770-2 (PIRSR); PIRSR037568-2 (PIRSR); PIRSR000666-1 (PIRSR); PIRSR000551-51 (PIRSR); PIRSR037393-1 (PIRSR); PIRSR000552-1 (PIRSR); PIRSR000619-2 (PIRSR); PIRSR037014-1 (PIRSR); PIRSR000632-2 (PIRSR); PIRSR000636-2 (PIRSR); PIRSR000556-2 (PIRSR); PIRSR000550-1 (PIRSR); PIRSR500948-1 (PIRSR); PIRSR037921-1 (PIRSR); PIRSR000631-1 (PIRSR); PIRSR038189-2 (PIRSR); PIRSR000556-1 (PIRSR); PIRSR000619-1 (PIRSR); PIRSR038172-2 (PIRSR); PIRSR038172-1 (PIRSR); PIRSR000620-2 (PIRSR); PIRSR038189-1 (PIRSR); PIRSR600239-51 (PIRSR); PIRSR000554-2 (PIRSR); PIRSR037281-2 (PIRSR); PIRSR000606-51 (PIRSR); PIRSR000550-3 (PIRSR); PIRSR000620-1 (PIRSR); PIRSR037281-3 (PIRSR); PIRSR037993-1 (PIRSR); PTHR46008 (PANTHER); IPR008271 (PROSITE_PATTERNS); IPR017441 (PROSITE_PATTERNS); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	P:GO:0006468; P:GO:0016310; F:GO:0004672; F:GO:0005524; F:GO:0016301	P:protein phosphorylation; P:phosphorylation; F:protein kinase activity; F:ATP binding; F:kinase activity
true	[INTERPRO, BLASTED, ANNOTATED]	g43	probable anion transporter 4, chloroplastic isoform X1	1587	1	0.0	96.02	3	P:GO:0055085; F:GO:0005315; C:GO:0009536	P:transmembrane transport; F:phosphate transmembrane transporter activity; C:plastid			G3DSA:1.20.1250.20:FF:000142 (FUNFAM); G3DSA:1.20.1250.20:FF:000131 (FUNFAM); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR011701 (PFAM); IPR050382 (PANTHER); IPR020846 (PROSITE_PROFILES); IPR044777 (CDD); IPR036259 (SUPERFAMILY)	P:GO:0055085; F:GO:0005315; F:GO:0022857; C:GO:0009536	P:transmembrane transport; F:phosphate transmembrane transporter activity; F:transmembrane transporter activity; C:plastid
true	[INTERPRO, BLASTED]	g44	AT-rich interactive domain-containing protein 2-like isoform X1	1464	4	5.32E-159	96.57						IPR000949 (PFAM); PTHR46872 (PANTHER); IPR000949 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g45	uncharacterized protein LOC127797819	489	20	1.92E-111	95.31						PTHR36077 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g46	hypothetical protein PTKIN_Ptkin02bG0175500	972	4	1.5E-107	67.95						IPR024752 (PFAM); PTHR46250 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g47	protein NRT1/ PTR FAMILY 8.1-like	3507	1	1.22E-294	93.95	4	P:GO:0006857; P:GO:0055085; F:GO:0022857; C:GO:0016020	P:oligopeptide transport; P:transmembrane transport; F:transmembrane transporter activity; C:membrane			IPR036259 (G3DSA:1.20.1250.GENE3D); IPR000109 (PFAM); PTHR11654 (PANTHER); IPR018456 (PROSITE_PATTERNS); IPR036259 (SUPERFAMILY)	P:GO:0006857; P:GO:0055085; F:GO:0022857; C:GO:0016020	P:oligopeptide transport; P:transmembrane transport; F:transmembrane transporter activity; C:membrane
true	[INTERPRO, NO-BLAST]	g48	-	252									no IPS match	no IPS match	no IPS match
